="",="year",="YOB",="GDR",="Total",="Male",="Female",="Obsv_Total",="Obsv_Male",="Obsv_Female"
="r1",=".",=".",=".",=".",=".",=".",=".",=".",="."
"11","2010","1961","0","7.907489","7.373473","8.451957","718","338","380"
"12","2010","1961","0","8.061674","8.115183","8.007117","732","372","360"
"1","2010","1962","0","8.366446","9.001098","7.72475","758","410","348"
"2","2010","1962","0","8.134658","8.45225","7.813541","737","385","352"
"3","2010","1962","0","8.896247","9.176729","8.612653","806","418","388"
"4","2010","1962","0","8.818985","9.023052","8.612653","799","411","388"
"5","2010","1962","0","9.205298","9.418222","8.990011","834","429","405"
"6","2010","1962","0","8.278146","8.122942","8.435072","750","370","380"
"7","2010","1962","0","8.112583","7.991218","8.235294","735","364","371"
"8","2010","1962","0","8.300221","8.035126","8.568257","752","366","386"
"9","2010","1962","0","8.256071","8.013172","8.501665","748","365","383"
"10","2010","1962","0","8.002208","8.100988","7.902331","725","369","356"
"11","2010","1962","0","7.90287","7.574094","8.235294","716","345","371"
"12","2010","1962","0","7.726269","7.091109","8.368479","700","323","377"
"1","2010","1963","0","9.153895","9.668681","8.631267","872","464","408"
"2","2010","1963","0","7.778711","8.043342","7.510049","741","386","355"
"3","2010","1963","0","9.090909","9.189414","8.990903","866","441","425"
"4","2010","1963","0","8.167122","8.105855","8.229321","778","389","389"
"5","2010","1963","0","8.807474","8.210044","9.414005","839","394","445"
"6","2010","1963","0","8.324585","8.585122","8.06008","793","412","381"
"7","2010","1963","0","8.712996","8.647635","8.779353","830","415","415"
"8","2010","1963","0","8.188117","8.105855","8.271631","780","389","391"
"9","2010","1963","0","8.513542","8.668473","8.356251","811","416","395"
"10","2010","1963","0","7.768213","7.834966","7.700444","740","376","364"
"11","2010","1963","0","7.831199","7.43905","8.229321","746","357","389"
"12","2010","1963","0","7.663237","7.501563","7.827375","730","360","370"
"1","2010","1964","0","9.364754","9.630232","9.094667","914","474","440"
"2","2010","1964","0","8.360656","8.492483","8.22654","816","418","398"
"3","2010","1964","0","9.088115","8.797237","9.384043","887","433","454"
"4","2010","1964","0","8.893443","8.77692","9.011988","868","432","436"
"5","2010","1964","0","8.555328","8.655018","8.453907","835","426","409"
"6","2010","1964","0","8.002049","7.659488","8.350558","781","377","404"
"7","2010","1964","0","8.032787","8.106461","7.957834","784","399","385"
"8","2010","1964","0","8.57582","8.492483","8.660604","837","418","419"
"9","2010","1964","0","8.217213","8.329947","8.102522","802","410","392"
"10","2010","1964","0","8.104508","8.065827","8.143861","791","397","394"
"11","2010","1964","0","6.905738","7.009346","6.800331","674","345","329"
"12","2010","1964","0","7.89959","7.984559","7.813146","771","393","378"
"1","2010","1965","0","8.965228","8.842975","9.090909","856","428","428"
"2","2010","1965","0","8.158777","7.995868","8.326253","779","387","392"
"3","2010","1965","0","9.080436","9.318182","8.836024","867","451","416"
"4","2010","1965","0","8.221617","7.871901","8.581138","785","381","404"
"5","2010","1965","0","9.394638","9.710744","9.069669","897","470","427"
"6","2010","1965","0","7.519899","7.623967","7.412914","718","369","349"
"7","2010","1965","0","8.577713","8.801653","8.347494","819","426","393"
"8","2010","1965","0","8.336824","8.429752","8.241291","796","408","388"
"9","2010","1965","0","8.326351","8.078512","8.581138","795","391","404"
"10","2010","1965","0","7.718894","7.396694","8.050127","737","358","379"
"11","2010","1965","0","8.127357","8.595041","7.646559","776","416","360"
"12","2010","1965","0","7.572266","7.334711","7.816483","723","355","368"
"1","2010","1966","0","9.325026","9.516928","9.130798","898","461","437"
"2","2010","1966","0","8.182762","8.546656","7.814459","788","414","374"
"3","2010","1966","0","9.667705","9.599505","9.736732","931","465","466"
"4","2010","1966","0","8.411215","8.360859","8.462181","810","405","405"
"5","2010","1966","0","8.483904","9.062758","7.898036","817","439","378"
"6","2010","1966","0","8.07892","7.720892","8.441287","778","374","404"
"7","2010","1966","0","8.182762","7.782824","8.587547","788","377","411"
"8","2010","1966","0","8.182762","8.340215","8.023402","788","404","384"
"9","2010","1966","0","8.556594","8.195706","8.921855","824","397","427"
"10","2010","1966","0","7.549325","7.184145","7.91893","727","348","379"
"11","2010","1966","0","7.48702","7.886045","7.083159","721","382","339"
"12","2010","1966","0","7.892004","7.803468","7.981613","760","378","382"
"1","2010","1967","0","8.382385","8.452536","8.311404","769","390","379"
"2","2010","1967","0","8.295182","8.34417","8.245614","761","385","376"
"3","2010","1967","0","9.014606","9.427828","8.596491","827","435","392"
"4","2010","1967","0","8.709396","8.777633","8.640351","799","405","394"
"5","2010","1967","0","8.600392","7.975726","9.232456","789","368","421"
"6","2010","1967","0","8.556791","8.430863","8.684211","785","389","396"
"7","2010","1967","0","8.742097","9.081058","8.399123","802","419","383"
"8","2010","1967","0","8.469588","8.799306","8.135965","777","406","371"
"9","2010","1967","0","7.94637","8.170785","7.719298","729","377","352"
"10","2010","1967","0","7.750164","7.347204","8.157895","711","339","372"
"11","2010","1967","0","7.455853","7.108799","7.807018","684","328","356"
"12","2010","1967","0","8.077175","8.084092","8.070175","741","373","368"
"1","2010","1968","0","9.059351","9.192325","8.92536","809","412","397"
"2","2010","1968","0","8.129899","8.500669","7.756295","726","381","345"
"3","2010","1968","0","9.451288","9.41544","9.48741","844","422","422"
"4","2010","1968","0","8.667413","8.857653","8.475719","774","397","377"
"5","2010","1968","0","8.723404","8.299866","9.15018","779","372","407"
"6","2010","1968","0","8.129899","8.344489","7.913669","726","374","352"
"7","2010","1968","0","8.443449","8.567604","8.318345","754","384","370"
"8","2010","1968","0","8.443449","8.032129","8.857914","754","360","394"
"9","2010","1968","0","8.129899","8.478358","7.778777","726","380","346"
"10","2010","1968","0","7.536394","7.385096","7.688849","673","331","342"
"11","2010","1968","0","7.334826","6.871932","7.801259","655","308","347"
"12","2010","1968","0","7.950728","8.05444","7.846223","710","361","349"
"1","2010","1969","0","9.645924","9.268407","10.02353","820","394","426"
"2","2010","1969","0","8.493118","8.303928","8.682353","722","353","369"
"3","2010","1969","0","9.234208","9.433075","9.035294","785","401","384"
"4","2010","1969","0","8.881308","8.727358","9.035294","755","371","384"
"5","2010","1969","0","8.504882","8.539167","8.470588","723","363","360"
"6","2010","1969","0","8.128455","8.021642","8.235294","691","341","350"
"7","2010","1969","0","8.528408","8.586215","8.470588","725","365","360"
"8","2010","1969","0","8.057876","8.3745","7.741176","685","356","329"
"9","2010","1969","0","8.222562","7.974594","8.470588","699","339","360"
"10","2010","1969","0","7.752029","8.045166","7.458824","659","342","317"
"11","2010","1969","0","7.32855","7.127735","7.529412","623","303","320"
"12","2010","1969","0","7.22268","7.598212","6.847059","614","323","291"
"1","2010","1970","0","9.241379","9.535886","8.953373","737","376","361"
"2","2010","1970","0","8.802508","8.825767","8.779762","702","348","354"
"3","2010","1970","0","9.278997","9.180827","9.375","740","362","378"
"4","2010","1970","0","9.07837","8.69896","9.449405","724","343","381"
"5","2010","1970","0","8.514107","8.267816","8.75496","679","326","353"
"6","2010","1970","0","8.238245","8.293178","8.184524","657","327","330"
"7","2010","1970","0","8.413793","8.597515","8.234127","671","339","332"
"8","2010","1970","0","7.774295","7.709866","7.837302","620","304","316"
"9","2010","1970","0","7.924765","7.938118","7.911706","632","313","319"
"10","2010","1970","0","7.23511","7.506974","6.969246","577","296","281"
"11","2010","1970","0","7.297806","7.405529","7.19246","582","292","290"
"12","2010","1970","0","8.200627","8.039564","8.358135","654","317","337"
"1","2010","1971","0","8.655018","8.754488","8.559277","639","317","322"
"2","2010","1971","0","8.343492","8.505938","8.187135","616","308","308"
"3","2010","1971","0","9.196803","9.444905","8.958001","679","342","337"
"4","2010","1971","0","8.60084","7.760287","9.409888","635","281","354"
"5","2010","1971","0","8.817554","9.030655","8.61244","651","327","324"
"6","2010","1971","0","8.357036","8.064071","8.639022","617","292","325"
"7","2010","1971","0","9.15617","9.527755","8.798511","676","345","331"
"8","2010","1971","0","7.612082","7.622204","7.602339","562","276","286"
"9","2010","1971","0","8.099688","8.312621","7.894737","598","301","297"
"10","2010","1971","0","8.018421","7.594587","8.426369","592","275","317"
"11","2010","1971","0","7.259921","7.373654","7.150452","536","267","269"
"12","2010","1971","0","7.882974","8.008837","7.761829","582","290","292"
"1","2010","1972","0","9.261186","9.49386","9.031877","623","317","306"
"2","2010","1972","0","8.726029","8.86493","8.589138","587","296","291"
"3","2010","1972","0","8.963877","9.853249","8.087367","603","329","274"
"4","2010","1972","0","9.082801","9.104522","9.061393","611","304","307"
"5","2010","1972","0","8.963877","9.074573","8.854782","603","303","300"
"6","2010","1972","0","8.473316","8.625337","8.323495","570","288","282"
"7","2010","1972","0","8.190873","7.906559","8.471074","551","264","287"
"8","2010","1972","0","7.997622","8.086253","7.910272","538","270","268"
"9","2010","1972","0","7.878698","7.247679","8.50059","530","242","288"
"10","2010","1972","0","7.878698","7.307577","8.441558","530","244","286"
"11","2010","1972","0","7.269214","6.978137","7.55608","489","233","256"
"12","2010","1972","0","7.31381","7.457323","7.172373","492","249","243"
"1","2010","1973","0","9.258032","9.017224","9.489763","559","267","292"
"2","2010","1973","0","8.429944","8.645728","8.222294","509","256","253"
"3","2010","1973","0","9.373965","9.152313","9.58726","566","271","295"
"4","2010","1973","0","8.479629","8.6795","8.287293","512","257","255"
"5","2010","1973","0","8.612123","9.591354","7.669808","520","284","236"
"6","2010","1973","0","7.916529","7.700101","8.124797","478","228","250"
"7","2010","1973","0","8.380258","8.172915","8.579786","506","242","264"
"8","2010","1973","0","7.866843","7.565012","8.157296","475","224","251"
"9","2010","1973","0","7.767473","7.868963","7.669808","469","233","236"
"10","2010","1973","0","8.595561","8.341776","8.839779","519","247","272"
"11","2010","1973","0","7.784034","8.308004","7.279818","470","246","224"
"12","2010","1973","0","7.535608","6.957109","8.092298","455","206","249"
"1","2010","1974","0","9.078838","9.631923","8.563182","547","280","267"
"2","2010","1974","0","8.746888","9.219126","8.306607","527","268","259"
"3","2010","1974","0","8.929461","8.840729","9.012187","538","257","281"
"4","2010","1974","0","9.145228","9.322325","8.980115","551","271","280"
"5","2010","1974","0","8.298755","7.774338","8.787684","500","226","274"
"6","2010","1974","0","8.448133","8.599931","8.306607","509","250","259"
"7","2010","1974","0","8.564315","8.187135","8.915972","516","238","278"
"8","2010","1974","0","8.39834","8.634331","8.178319","506","251","255"
"9","2010","1974","0","8.315353","7.980736","8.627325","501","232","269"
"10","2010","1974","0","8.049793","8.255934","7.857601","485","240","245"
"11","2010","1974","0","6.970954","6.948744","6.991661","420","202","218"
"12","2010","1974","0","7.053942","6.604747","7.472739","425","192","233"
"1","2010","1975","0","8.285386","8.839961","7.730263","504","269","235"
"2","2010","1975","0","8.005918","7.886954","8.125","487","240","247"
"3","2010","1975","0","9.123788","9.037134","9.210526","555","275","280"
"4","2010","1975","0","8.564853","8.938547","8.190789","521","272","249"
"5","2010","1975","0","9.419694","9.792967","9.046053","573","298","275"
"6","2010","1975","0","8.351143","7.755504","8.947368","508","236","272"
"7","2010","1975","0","8.564853","8.839961","8.289474","521","269","252"
"8","2010","1975","0","8.285386","8.084128","8.486842","504","246","258"
"9","2010","1975","0","8.055236","8.314164","7.796053","490","253","237"
"10","2010","1975","0","7.693572","7.163983","8.223684","468","218","250"
"11","2010","1975","0","7.759329","7.788367","7.730263","472","237","235"
"12","2010","1975","0","7.890843","7.558331","8.223684","480","230","250"
"1","2010","1976","0","8.822072","9.261151","8.408216","534","272","262"
"2","2010","1976","0","7.748224","7.354443","8.119384","469","216","253"
"3","2010","1976","0","8.822072","8.580184","9.050064","534","252","282"
"4","2010","1976","0","8.128201","8.341845","7.926829","492","245","247"
"5","2010","1976","0","8.656864","8.614232","8.697047","524","253","271"
"6","2010","1976","0","8.276887","8.478039","8.087291","501","249","252"
"7","2010","1976","0","8.55774","8.648281","8.472401","518","254","264"
"8","2010","1976","0","8.243846","8.44399","8.055199","499","248","251"
"9","2010","1976","0","8.425574","8.069459","8.761232","510","237","273"
"10","2010","1976","0","8.822072","9.056861","8.60077","534","266","268"
"11","2010","1976","0","7.781265","7.42254","8.119384","471","218","253"
"12","2010","1976","0","7.715183","7.728975","7.702182","467","227","240"
"1","2010","1977","0","8.753536","8.591644","8.911542","526","255","271"
"2","2010","1977","0","8.370777","8.625337","8.122328","503","256","247"
"3","2010","1977","0","9.036445","9.602426","8.484051","543","285","258"
"4","2010","1977","0","7.871526","7.91779","7.826373","473","235","238"
"5","2010","1977","0","8.753536","8.760108","8.747123","526","260","266"
"6","2010","1977","0","8.903312","8.65903","9.14173","535","257","278"
